Unnamed: 0,Leticia,Medellín,Arauca,Barranquilla,Cartagena,Tunja,Manizales,Florencia,Yopal,Popayán,Valledupar,Quibdó,Montería,Bogotá,Inírida,San José del Guaviare,Neiva,Riohacha,SantaMarta,Villavicencio,Pasto,Cúcuta,Mocoa,Armenia,Pereira,Bucaramanga,Sincelejo,Ibagué,Cali,Mitú,Puerto Carreño
Leticia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.93926260731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952.6973035975246,0.0,0.0,0.0,0.0,0.0,0.0,605.1747987006969,0.0
Medellín,0.0,0.0,0.0,0.0,462.5566760786563,257.2819521151971,130.41880648520356,0.0,0.0,0.0,0.0,134.73344738728372,264.8252387392578,241.27468711638556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.70698254570874,288.43326321294467,0.0,0.0,0.0,0.0,0.0
Arauca,0.0,0.0,0.0,0.0,0.0,289.94415127054754,0.0,0.0,213.24315895488866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.47499979717577
Barranquilla,0.0,0.0,0.0,0.0,101.92106344689489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.6960438945739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartagena,0.0,462.5566760786563,0.0,101.92106344689489,0.0,0.0,0.0,0.0,0.0,0.0,250.89325003878224,0.0,207.07727329055928,0.0,0.0,0.0,0.0,0.0,728.2227662957445,0.0,0.0,0.0,0.0,0.0,0.0,452.23318638829227,0.0,0.0,0.0,0.0,0.0
Tunja,0.0,257.2819521151971,289.94415127054754,0.0,0.0,0.0,243.28214194038296,0.0,109.4506761412763,0.0,0.0,0.0,0.0,125.93264788557002,0.0,0.0,0.0,0.0,0.0,157.1954162547822,0.0,278.0170751429906,0.0,0.0,0.0,178.22126685908898,0.0,0.0,0.0,0.0,0.0
Manizales,0.0,130.41880648520356,0.0,0.0,0.0,243.28214194038296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.33509345734566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.855631687625454,0.0,0.0,76.83625216054749,0.0,0.0,0.0
Florencia,901.93926260731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.35817252324267,0.0,0.0,0.0,0.0,0.0,347.06153082697483,161.09443129635684,0.0,0.0,355.98891688575577,0.0,0.0,126.22042192456414,0.0,0.0,0.0,0.0,0.0,0.0,600.4386778516097,0.0
Yopal,0.0,0.0,213.24315895488866,0.0,0.0,109.4506761412763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.02970295149453,0.0,0.0,0.0,0.0,0.0,190.12766513056278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.9362740757582
Popayán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.35817252324267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.46028168163033,0.0,0.0,0.0,154.99083954182862,0.0,143.33409940962446,0.0,0.0,0.0,0.0,269.82618500048466,111.95486267586413,0.0,0.0
Valledupar,0.0,0.0,0.0,0.0,250.89325003878224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.090313917317,702.2632746419999,0.0,0.0,295.5920630728117,0.0,0.0,0.0,369.66483636046615,0.0,0.0,0.0,0.0,0.0
Quibdó,0.0,134.73344738728372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.36118113046416,0.0,0.0,0.0,248.13969724306278,0.0,0.0
Montería,0.0,264.8252387392578,0.0,0.0,207.07727329055928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.19106665200775,0.0,0.0,0.0,0.0
Bogotá,0.0,241.27468711638556,0.0,0.0,0.0,125.93264788557002,164.33509345734566,0.0,202.02970295149453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0136460133872,0.0,0.0,77.04138992101055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.32763358848877,0.0,0.0,0.0
Inírida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.3832098943923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.20966649268684,261.8271822361946
San José del Guaviare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.06153082697483,0.0,0.0,0.0,0.0,0.0,0.0,543.3832098943923,0.0,0.0,0.0,0.0,204.14921794038904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.4142472858247,698.503604709359
Neiva,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.09443129635684,0.0,161.46028168163033,0.0,0.0,0.0,223.0136460133872,0.0,0.0,0.0,0.0,0.0,220.95331905302234,0.0,0.0,258.2741153571952,0.0,0.0,0.0,0.0,155.58845098341433,0.0,0.0,0.0
Riohacha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.090313917317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,823.1892367821472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SantaMarta,0.0,0.0,0.0,772.6960438945739,728.2227662957445,0.0,0.0,0.0,0.0,0.0,702.2632746419999,0.0,0.0,0.0,0.0,0.0,0.0,823.1892367821472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villavicencio,0.0,0.0,0.0,0.0,0.0,157.1954162547822,0.0,355.98891688575577,190.12766513056278,0.0,0.0,0.0,0.0,77.04138992101055,633.039242472392,204.14921794038904,220.95331905302234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,717.254152681448
Pasto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.99083954182862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.54208205096394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cúcuta,0.0,0.0,0.0,0.0,0.0,278.0170751429906,0.0,0.0,0.0,0.0,295.5920630728117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.71268047659571,0.0,0.0,0.0,0.0,0.0
Mocoa,952.6973035975246,0.0,0.0,0.0,0.0,0.0,0.0,126.22042192456414,0.0,143.33409940962446,0.0,0.0,0.0,0.0,0.0,0.0,258.2741153571952,0.0,0.0,0.0,70.54208205096394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84211199080207,0.0,0.0,52.34350104434292,153.32925003169723,0.0,0.0
Pereira,0.0,158.70698254570874,0.0,0.0,0.0,0.0,34.855631687625454,0.0,0.0,0.0,0.0,144.36118113046416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.84211199080207,0.0,0.0,0.0,67.8807841653967,177.08023822612952,0.0,0.0
Bucaramanga,0.0,288.43326321294467,0.0,0.0,452.23318638829227,178.22126685908898,0.0,0.0,0.0,0.0,369.66483636046615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.71268047659571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sincelejo,0.0,0.0,0.0,0.0,123.55336547148654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.19106665200775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibagué,0.0,0.0,0.0,0.0,0.0,0.0,76.83625216054749,0.0,0.0,269.82618500048466,0.0,0.0,0.0,127.32763358848877,0.0,0.0,155.58845098341433,0.0,0.0,0.0,0.0,0.0,0.0,52.34350104434292,67.8807841653967,0.0,0.0,0.0,182.91748895876682,0.0,0.0
Cali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.95486267586413,0.0,248.13969724306278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.32925003169723,177.08023822612952,0.0,0.0,182.91748895876682,0.0,0.0,0.0
Mitú,605.1747987006969,0.0,0.0,0.0,0.0,0.0,0.0,600.4386778516097,0.0,0.0,0.0,0.0,0.0,0.0,386.20966649268684,305.4142472858247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puerto Carreño,0.0,0.0,392.47499979717577,0.0,0.0,0.0,0.0,0.0,551.9362740757582,0.0,0.0,0.0,0.0,0.0,0.0,698.503604709359,0.0,0.0,0.0,717.254152681448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.5194760572851,0.0
