0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,73,0,65,59,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
3,0,65,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,59,0,0,64,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,64,0,73,0,0,37,46,0,0,0,0,0,0,0,0,0,0
6,0,0,0,76,73,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,60,0,0,0,0,42,0,0,24,0,0,0,0,0,0,0,0,0
8,0,47,0,0,0,64,42,0,28,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,37,0,0,28,0,23,0,27,0,0,0,0,0,0,0,0
10,0,0,0,0,46,0,0,0,23,0,0,0,34,31,0,0,0,0,0,0
11,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,44,0,0,0
12,0,0,0,0,0,0,0,0,27,0,24,0,38,0,0,0,60,0,0,0
13,0,0,0,0,0,0,0,0,0,34,0,38,0,33,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,31,0,0,33,0,43,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,58,0,70,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,68,0
17,0,0,0,0,0,0,0,0,0,0,44,60,0,0,0,0,0,82,0,0
18,0,0,0,0,0,0,0,0,0,0,0,62,0,0,70,0,82,0,79,89
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,79,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
