0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0,0.30000000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.15000000000000002,0,0.09651162790697675,0.09081632653061225,0,0,0,0.07941176470588235,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.09651162790697675,0,0,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.09081632653061225,0,0,0.07898550724637682,0.07941176470588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0.07898550724637682,0,0.07816901408450705,0,0,0.06526717557251908,0.0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0.07941176470588235,0.07816901408450705,0,0,0.07298850574712644,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0.03666666666666667,0,0,0,0,0.033793103448275866,0,0,0.033605442176870746,0,0,0,0,0,0,0,0,0
8,0,0.04941176470588235,0,0,0,0.04298850574712644,0.033793103448275866,0,0.033605442176870746,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0.035267175572519086,0,0,0.033605442176870746,0,0.0,0,0.0325,0,0,0,0,0,0,0,0
10,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0
11,0,0,0,0,0,0,0.033605442176870746,0,0,0,0,0.03680672268907563,0,0,0,0,0.04439024390243902,0,0,0
12,0,0,0,0,0,0,0,0,0.0325,0,0.03680672268907563,0,0.036528925619834715,0,0,0,0.04150537634408602,0,0,0
13,0,0,0,0,0,0,0,0,0,0.0,0,0.036528925619834715,0,0.034184397163120564,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0.0,0,0,0.034184397163120564,0,0.035748031496062996,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065748031496063,0,0.07531645569620253,0,0.07702702702702703,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07531645569620253,0,0,0,0.07985074626865672,0
17,0,0,0,0,0,0,0,0,0,0,0.07439024390243903,0.07150537634408602,0,0,0,0,0,0.08333333333333334,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0.07061855670103093,0,0,0.07702702702702703,0,0.08333333333333334,0,0.08225806451612903,0.09878048780487805
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07985074626865672,0,0.08225806451612903,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24878048780487805,0,0
